epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,313.649,1.94365,3.32871,1.71233,1.8703,0.69037,0.3892,0.446,0.23566,0.68161,0.38636,0.42246,0.22734,1.75275,2.86549,1.72253,1.96608,0.00104171,0.00104171,0.00104171
65,318.44,1.94697,3.35728,1.66347,1.81185,0.66526,0.41217,0.44253,0.22283,0.69337,0.39829,0.43002,0.23373,1.77848,2.82742,1.70011,1.94597,0.00104061,0.00104061,0.00104061
66,323.215,1.97214,3.35401,1.70348,1.82617,0.61559,0.42045,0.45224,0.23212,0.61012,0.41761,0.43585,0.24043,1.70583,2.84614,1.67055,1.92127,0.00103951,0.00103951,0.00103951
67,327.898,1.94233,3.25745,1.63788,1.78592,0.6648,0.43182,0.47069,0.24632,0.65499,0.4233,0.457,0.25863,1.74026,2.89011,1.71838,1.91875,0.00103841,0.00103841,0.00103841
68,332.585,1.93477,3.30549,1.66856,1.80336,0.58849,0.44318,0.47316,0.24139,0.61945,0.43466,0.46675,0.24504,1.76888,2.77473,1.6344,1.91925,0.00103731,0.00103731,0.00103731
69,337.076,1.9198,3.25249,1.68913,1.80963,0.66938,0.44602,0.48686,0.25819,0.71383,0.40909,0.46453,0.2537,1.71469,2.75909,1.62395,1.90542,0.00103621,0.00103621,0.00103621
70,341.837,1.90618,3.18041,1.63133,1.7775,0.65288,0.41144,0.44702,0.2441,0.67247,0.40057,0.43492,0.25255,1.73872,2.81277,1.69605,1.90587,0.00103511,0.00103511,0.00103511
71,346.556,1.83825,3.16203,1.57255,1.72549,0.63614,0.447,0.49213,0.26196,0.68611,0.43466,0.47466,0.26613,1.73515,2.72613,1.75109,1.88518,0.00103401,0.00103401,0.00103401
72,351.117,1.83853,3.13055,1.63106,1.75958,0.68753,0.4375,0.49302,0.27146,0.70911,0.40168,0.46972,0.25629,1.67396,2.75207,1.59658,1.81886,0.00103291,0.00103291,0.00103291
73,355.532,1.83722,3.08324,1.6134,1.75301,0.68407,0.47366,0.52019,0.28734,0.67196,0.48295,0.50688,0.29009,1.70221,2.72719,1.54133,1.85489,0.00103181,0.00103181,0.00103181
74,360.129,1.81358,3.10953,1.53944,1.698,0.68831,0.43466,0.49923,0.26562,0.68831,0.44034,0.49887,0.27655,1.71136,2.76709,1.60869,1.84901,0.00103071,0.00103071,0.00103071
75,364.791,1.81204,3.20735,1.49852,1.68944,0.6977,0.43182,0.50356,0.27185,0.72656,0.40762,0.46942,0.26218,1.67599,2.76573,1.53478,1.82212,0.00102961,0.00102961,0.00102961
76,369.585,1.8551,3.2294,1.5494,1.72541,0.64221,0.43853,0.46918,0.2441,0.69558,0.41477,0.46117,0.24261,1.70638,2.7517,1.60981,1.86905,0.00102851,0.00102851,0.00102851
77,374.293,1.84609,3.13009,1.58152,1.73424,0.64052,0.46307,0.47403,0.26155,0.63837,0.44634,0.45456,0.27157,1.63459,2.70926,1.66033,1.83404,0.00102741,0.00102741,0.00102741
78,378.802,1.84845,3.19544,1.57734,1.72283,0.71683,0.40992,0.46247,0.25675,0.72439,0.40321,0.44541,0.25426,1.71379,2.73576,1.66241,1.90691,0.00102631,0.00102631,0.00102631
79,383.249,1.82936,3.1419,1.55297,1.70015,0.69662,0.44034,0.50223,0.27772,0.69145,0.41477,0.48152,0.27367,1.65192,2.67422,1.53327,1.81713,0.00102521,0.00102521,0.00102521
80,387.817,1.79789,3.03909,1.51926,1.6865,0.73807,0.40909,0.48375,0.2673,0.76377,0.40625,0.47119,0.26861,1.70553,2.78359,1.60605,1.87857,0.00102411,0.00102411,0.00102411
