# image det_index cls kpt_index u v depth_m X Y Z
DJI_20230823160823_0063_D 24 0 2 4116.54 1440.78 2.0075 0.8102 -0.2944 2.0075
DJI_20230823160823_0063_D 24 0 3 4454.85 1548.89 1.4807 0.7345 -0.1734 1.4807
DJI_20230823160823_0063_D 24 0 4 4439.93 1778.56 1.5160 0.7458 -0.0824 1.5160
DJI_20230823160823_0063_D 24 0 5 4458.65 1480.18 1.4720 0.7317 -0.2000 1.4720
DJI_20230823160823_0063_D 24 0 6 4718.59 1420.28 1.5228 0.8651 -0.2319 1.5228
DJI_20230823160823_0063_D 24 0 7 4236.89 1511.12 1.5375 0.6711 -0.1959 1.5375
DJI_20230823160823_0063_D 25 0 0 2386.61 1863.28 1.8738 -0.1295 -0.0585 1.8738
DJI_20230823160823_0063_D 25 0 1 2364.65 1588.99 1.9275 -0.1448 -0.2046 1.9275
DJI_20230823160823_0063_D 25 0 2 2441.57 1605.99 1.8750 -0.1014 -0.1903 1.8750
DJI_20230823160823_0063_D 25 0 3 2493.50 1880.35 1.8498 -0.0738 -0.0491 1.8498
DJI_20230823160823_0063_D 25 0 4 2499.46 1887.08 1.8383 -0.0703 -0.0454 1.8383
DJI_20230823160823_0063_D 25 0 5 2487.94 1597.80 1.8440 -0.0764 -0.1913 1.8440
DJI_20230823160823_0063_D 25 0 6 2368.89 1584.27 1.9217 -0.1421 -0.2065 1.9217
DJI_20230823160823_0063_D 25 0 7 2377.77 1856.67 1.7991 -0.1287 -0.0594 1.7991
DJI_20230823160823_0063_D 26 0 0 395.86 1187.82 2.4845 -1.5232 -0.5361 2.4845
DJI_20230823160823_0063_D 26 0 1 361.37 1119.81 4.2132 -2.6227 -0.9874 4.2132
DJI_20230823160823_0063_D 26 0 2 408.00 1213.22 2.5106 -1.5308 -0.5243 2.5106
DJI_20230823160823_0063_D 26 0 3 503.68 1253.96 2.3760 -1.3867 -0.4697 2.3760
DJI_20230823160823_0063_D 26 0 4 497.98 1271.71 2.4125 -1.4117 -0.4653 2.4125
DJI_20230823160823_0063_D 26 0 5 429.50 1197.43 2.4264 -1.4652 -0.5172 2.4264
DJI_20230823160823_0063_D 26 0 6 360.85 1123.04 4.1987 -2.6142 -0.9803 4.1987
DJI_20230823160823_0063_D 26 0 7 369.78 1166.28 3.9519 -2.4510 -0.8760 3.9519
DJI_20230823160823_0063_D 27 0 0 2285.54 1939.77 1.2397 -0.1199 -0.0128 1.2397
DJI_20230823160823_0063_D 27 0 1 2253.98 1658.57 1.8007 -0.1897 -0.1569 1.8007
DJI_20230823160823_0063_D 27 0 2 2310.12 1641.79 1.8376 -0.1654 -0.1686 1.8376
DJI_20230823160823_0063_D 27 0 3 2345.80 1931.33 1.7764 -0.1426 -0.0224 1.7764
DJI_20230823160823_0063_D 27 0 4 2333.58 1932.12 1.7734 -0.1482 -0.0220 1.7734
DJI_20230823160823_0063_D 27 0 5 2322.39 1646.37 1.8243 -0.1581 -0.1651 1.8243
DJI_20230823160823_0063_D 27 0 6 2260.64 1656.49 1.8075 -0.1871 -0.1585 1.8075
DJI_20230823160823_0063_D 27 0 7 2275.78 1932.29 1.2303 -0.1223 -0.0152 1.2303
DJI_20230823160823_0063_D 28 0 0 616.65 879.75 4.3289 -2.3927 -1.2985 4.3289
DJI_20230823160823_0063_D 28 0 1 642.80 830.74 4.2090 -2.2964 -1.3189 4.2090
DJI_20230823160823_0063_D 28 0 2 903.76 809.30 4.1401 -1.9636 -1.3215 4.1401
DJI_20230823160823_0063_D 28 0 3 907.45 859.05 4.1163 -1.9481 -1.2580 4.1163
DJI_20230823160823_0063_D 28 0 4 907.95 864.43 4.1188 -1.9488 -1.2527 4.1188
DJI_20230823160823_0063_D 28 0 5 933.46 814.27 4.1554 -1.9371 -1.3208 4.1554
DJI_20230823160823_0063_D 28 0 6 655.23 831.36 4.1795 -2.2661 -1.3089 4.1795
DJI_20230823160823_0063_D 28 0 7 627.43 895.90 4.3165 -2.3732 -1.2757 4.3165
DJI_20230823160823_0063_D 29 0 0 2368.87 1771.12 1.8148 -0.1342 -0.1023 1.8148
DJI_20230823160823_0063_D 29 0 1 2355.24 1484.45 1.9053 -0.1480 -0.2567 1.9053
DJI_20230823160823_0063_D 29 0 2 2440.77 1515.61 1.8538 -0.1007 -0.2340 1.8538
DJI_20230823160823_0063_D 29 0 3 2484.76 1797.42 1.8759 -0.0793 -0.0923 1.8759
DJI_20230823160823_0063_D 29 0 4 2497.90 1802.57 1.8679 -0.0723 -0.0893 1.8679
DJI_20230823160823_0063_D 29 0 5 2490.77 1513.21 1.8189 -0.0739 -0.2308 1.8189
DJI_20230823160823_0063_D 29 0 6 2362.03 1479.43 1.8973 -0.1439 -0.2582 1.8973
DJI_20230823160823_0063_D 29 0 7 2361.99 1771.28 1.8105 -0.1373 -0.1020 1.8105
DJI_20230823160823_0063_D 30 0 0 2498.08 1855.57 1.8663 -0.0721 -0.0622 1.8663
DJI_20230823160823_0063_D 30 0 1 2503.98 1600.97 1.8329 -0.0679 -0.1886 1.8329
DJI_20230823160823_0063_D 30 0 2 2605.77 1659.55 1.7737 -0.0163 -0.1541 1.7737
DJI_20230823160823_0063_D 30 0 3 2663.39 1918.52 1.7650 0.0115 -0.0284 1.7650
DJI_20230823160823_0063_D 30 0 4 2678.44 1921.67 1.7589 0.0187 -0.0268 1.7589
DJI_20230823160823_0063_D 30 0 5 2680.05 1657.86 1.7289 0.0192 -0.1510 1.7289
DJI_20230823160823_0063_D 30 0 6 2515.51 1600.67 1.8245 -0.0618 -0.1879 1.8245
DJI_20230823160823_0063_D 30 0 7 2498.83 1853.18 1.8654 -0.0717 -0.0634 1.8654
DJI_20230823160823_0063_D 31 0 0 2314.66 1963.25 1.7302 -0.1536 -0.0067 1.7302
DJI_20230823160823_0063_D 31 0 1 2307.32 1687.35 1.7640 -0.1601 -0.1399 1.7640
DJI_20230823160823_0063_D 31 0 2 2344.40 1656.41 1.7910 -0.1444 -0.1571 1.7910
DJI_20230823160823_0063_D 31 0 3 2363.03 1904.61 1.7926 -0.1354 -0.0357 1.7926
DJI_20230823160823_0063_D 31 0 4 2361.24 1916.51 1.7888 -0.1360 -0.0298 1.7888
DJI_20230823160823_0063_D 31 0 5 2347.65 1649.24 1.7992 -0.1435 -0.1614 1.7992
DJI_20230823160823_0063_D 31 0 6 2301.98 1681.14 1.7628 -0.1626 -0.1427 1.7628
DJI_20230823160823_0063_D 31 0 7 2306.76 1955.62 1.7364 -0.1579 -0.0104 1.7364
DJI_20230823160823_0063_D 32 0 0 4439.34 2103.48 1.5376 0.7562 0.0529 1.5376
DJI_20230823160823_0063_D 32 0 1 4514.45 1823.56 1.4994 0.7682 -0.0631 1.4994
DJI_20230823160823_0063_D 32 0 2 4559.74 1723.84 1.4732 0.7730 -0.1021 1.4732
DJI_20230823160823_0063_D 32 0 3 4853.95 1954.16 1.4834 0.8976 -0.0095 1.4834
DJI_20230823160823_0063_D 32 0 4 4748.94 2147.11 1.4531 0.8376 0.0673 1.4531
DJI_20230823160823_0063_D 32 0 5 4846.30 1865.77 1.4393 0.8679 -0.0439 1.4393
DJI_20230823160823_0063_D 32 0 6 4973.88 1711.61 1.5236 0.9718 -0.1107 1.5236
DJI_20230823160823_0063_D 32 0 7 4722.39 1932.63 1.4450 0.8224 -0.0177 1.4450
DJI_20230823160823_0063_D 33 0 0 622.94 813.09 4.2309 -2.3313 -1.3461 4.2309
DJI_20230823160823_0063_D 33 0 1 613.23 773.67 4.2373 -2.3461 -1.3938 4.2373
