epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,326.371,0.64863,2.8929,0.46828,0.57511,1.08469,0.878,0.80357,0.87045,0.74557,0.83113,0.60714,0.66437,0.50998,0.58056,3.39005,0.51363,0.57911,1.12974,0.00181614,0.00181614,0.00181614
67,331.155,0.63275,2.91039,0.46759,0.55926,1.06415,0.81112,0.84359,0.86602,0.70522,0.80725,0.59839,0.66687,0.48944,0.6484,3.37828,0.49809,0.69221,1.21498,0.00181331,0.00181331,0.00181331
68,335.909,0.6646,2.93247,0.47456,0.57358,1.08817,0.86266,0.89734,0.92966,0.8002,0.84619,0.60714,0.64173,0.49657,0.56682,3.53752,0.50864,0.45185,1.10558,0.00181049,0.00181049,0.00181049
69,340.701,0.64244,2.8158,0.46197,0.5563,1.06967,0.86839,0.89286,0.8941,0.74502,0.84757,0.64286,0.66989,0.48919,0.60988,3.29548,0.5084,0.48523,1.18477,0.00180766,0.00180766,0.00180766
70,345.527,0.66095,2.74777,0.46325,0.56463,1.07782,0.91663,0.78535,0.8481,0.73183,0.89587,0.58929,0.64838,0.49387,0.59944,3.5055,0.49599,0.60235,1.13554,0.00180483,0.00180483,0.00180483
71,350.372,0.64411,2.80354,0.4637,0.55727,1.07179,0.90287,0.75,0.85043,0.69727,0.8695,0.625,0.63598,0.48766,0.68943,3.57323,0.51465,0.61563,1.21033,0.001802,0.001802,0.001802
72,355.239,0.64679,2.93494,0.4722,0.55491,1.07864,0.85791,0.86262,0.8778,0.74249,0.81451,0.62733,0.63738,0.46969,0.57594,3.41482,0.49717,0.50098,1.15478,0.00179917,0.00179917,0.00179917
73,360.07,0.64832,2.76239,0.47191,0.56424,1.06721,0.93879,0.8217,0.86612,0.75742,0.85179,0.64286,0.63713,0.51402,0.55544,3.26754,0.51377,0.58076,1.14686,0.00179634,0.00179634,0.00179634
74,364.901,0.64835,2.77572,0.46654,0.56667,1.08183,0.94548,0.73214,0.86264,0.74112,0.74797,0.68902,0.64408,0.4561,0.56158,3.41211,0.4693,0.50835,1.11529,0.00179351,0.00179351,0.00179351
75,369.736,0.65021,2.78999,0.46282,0.56034,1.07918,0.89058,0.87213,0.88376,0.76732,0.80113,0.625,0.68396,0.52051,0.53602,3.27755,0.49108,0.47395,1.12391,0.00179069,0.00179069,0.00179069
76,374.605,0.64205,2.93764,0.46692,0.55952,1.0731,0.88868,0.875,0.89997,0.77473,0.89489,0.60817,0.68581,0.51622,0.63057,3.36688,0.48756,0.5125,1.22001,0.00178786,0.00178786,0.00178786
77,379.371,0.63161,2.76749,0.4589,0.54282,1.08139,0.89751,0.83929,0.90106,0.76749,0.8164,0.58929,0.61418,0.46706,0.60274,3.4579,0.50869,0.51715,1.16804,0.00178503,0.00178503,0.00178503
78,384.174,0.66693,2.85799,0.45821,0.57141,1.08815,0.93579,0.80357,0.86887,0.73024,0.78833,0.66071,0.67058,0.51266,0.62834,3.29559,0.49213,0.56887,1.14247,0.0017822,0.0017822,0.0017822
79,388.902,0.63771,2.79956,0.46326,0.54922,1.07038,0.86293,0.83929,0.88639,0.78144,0.82833,0.67857,0.67529,0.48235,0.55003,3.30477,0.50724,0.48518,1.08822,0.00177937,0.00177937,0.00177937
80,393.775,0.61851,2.71627,0.46283,0.54132,1.05393,0.90846,0.82143,0.85557,0.72914,0.81689,0.64286,0.63802,0.48158,0.58157,3.3125,0.49006,0.53218,1.12294,0.00177654,0.00177654,0.00177654
81,398.565,0.631,2.63776,0.45549,0.54025,1.07072,0.8483,0.83929,0.87721,0.74589,0.85994,0.64286,0.67082,0.49167,0.61565,3.49982,0.49098,0.56435,1.1453,0.00177371,0.00177371,0.00177371
82,403.372,0.63374,2.65554,0.46103,0.53954,1.05203,0.95718,0.79846,0.87411,0.74767,0.83085,0.60714,0.63482,0.51376,0.58049,3.36617,0.50487,0.51585,1.1424,0.00177089,0.00177089,0.00177089
