epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,262.595,1.1138,4.67431,0.52862,1.06012,1.56489,0.87341,0.67857,0.74766,0.57021,0.79484,0.51786,0.53913,0.37615,0.95252,4.3258,0.6012,0.97412,1.5687,0.00185291,0.00185291,0.00185291
54,267.432,1.16757,4.79798,0.52636,1.07413,1.60727,0.90399,0.71429,0.78739,0.58176,0.72074,0.57143,0.55719,0.39405,0.99275,4.32886,0.59602,0.96378,1.51755,0.00185009,0.00185009,0.00185009
55,272.148,1.10706,4.71235,0.52493,1.02777,1.55075,0.77929,0.75668,0.78233,0.60936,0.71337,0.55357,0.56554,0.41976,0.86946,4.24745,0.59066,0.91014,1.43081,0.00184726,0.00184726,0.00184726
56,276.988,1.14501,4.85265,0.53546,1.05378,1.56649,0.97366,0.66006,0.7938,0.61071,0.85261,0.57143,0.58813,0.39574,0.89929,4.21311,0.58509,0.89069,1.4912,0.00184443,0.00184443,0.00184443
57,281.701,1.11,4.77813,0.53736,1.0163,1.54626,0.92482,0.65906,0.78781,0.6042,0.75215,0.58929,0.581,0.36677,0.88087,4.38489,0.59116,0.89539,1.5202,0.0018416,0.0018416,0.0018416
58,286.43,1.08627,4.57274,0.52862,0.99855,1.52802,0.81227,0.69542,0.73079,0.56265,0.66441,0.56574,0.53989,0.40706,0.94413,4.37437,0.59907,1.01882,1.55792,0.00183877,0.00183877,0.00183877
59,291.15,1.08217,4.73408,0.52633,1.00835,1.54474,0.90457,0.71429,0.78071,0.61494,0.7766,0.62083,0.63388,0.39706,0.87097,4.30655,0.58531,0.95517,1.49151,0.00183594,0.00183594,0.00183594
60,296.065,1.07463,4.65756,0.5289,0.9995,1.52133,0.847,0.69207,0.77793,0.59555,0.64304,0.58929,0.54219,0.37864,0.86487,4.38111,0.60279,0.9029,1.46537,0.00183311,0.00183311,0.00183311
61,300.809,1.09747,4.47457,0.52909,0.99265,1.52296,0.87566,0.71429,0.80397,0.59987,0.8034,0.53571,0.54422,0.39943,1.05432,4.36083,0.58737,0.85561,1.53641,0.00183029,0.00183029,0.00183029
62,305.538,1.08065,4.45429,0.52358,0.98714,1.51724,0.81224,0.69643,0.75659,0.58151,0.68198,0.55357,0.53982,0.37844,0.9124,4.25685,0.58504,0.93218,1.50216,0.00182746,0.00182746,0.00182746
